lat,lng,surge
40.75216309,-73.98536682,1.2
40.73086864,-73.99738312,1.3
40.72332346,-73.99291992,1.5
40.71863981,-74.00064468,1.7
40.70875102,-74.01042938,1.3
40.76650158,-73.96596909,2
40.81484858,-73.94863129,1.4
40.83069665,-73.88700485,1.1
40.74361546,-73.95206451,1.8
40.74803726,-73.92717361,1.2
40.69625782,-73.98941341,1.5
